UserId;NodeId;TimeSpent
594;6869;2
594;6871;21
594;6869;4
594;6869;10
594;6870;24
594;6871;42
594;3370;10
509;1354;0
509;1354;26
509;1399;117
509;1354;7
509;1399;108
509;1354;6
509;1399;277
591;1334;24
591;1354;24
591;1354;50
591;1399;20
591;6063;9
591;6069;37
591;1422;30
591;1380;23
591;1380;25
591;6069;7
591;6071;3
591;6069;17
591;1422;413
591;4860;21
591;1399;11
591;1399;0
598;2082;33
598;1334;0
598;1422;1092
598;4860;2
606;1334;3
606;1354;18
606;1354;1
608;6397;11
608;4860;0
619;1473;112
619;2030;25
619;1354;27
625;1334;11
625;1354;36
625;1399;16
625;1354;4
625;1399;36
621;1334;3
621;3727;23
635;1354;13
635;1380;112
635;7568;0
635;1334;0
642;7568;54
642;7568;110
642;7568;167
642;7554;36
642;2082;9
642;2082;0
642;7554;0
642;7568;54
646;1354;12
646;1334;0
645;1399;2
645;1942;4
645;1942;35
645;1354;0
652;1354;134
652;1354;25
652;1399;221
652;1399;6
652;1354;5
652;1354;24
652;1399;65
652;1354;62
655;1331;2
655;1354;31
633;1422;4
633;1335;2
633;3378;26
633;1335;0
633;1335;4
633;1422;1
633;1334;0
660;1334;7
660;3374;2
660;4020;20
660;3374;3
660;4020;34
660;3374;1
660;1334;0
663;1334;4
663;2030;14
663;1334;8
663;1334;24
663;1334;18
663;1354;36
663;1399;9
663;1354;2
663;1399;1
663;1354;5
663;1334;7
663;1334;3
663;1354;123
663;1399;13
663;1354;15
663;1399;126
667;1334;23
667;7568;90
669;1334;12
669;1354;8
669;1399;66
670;1334;10
670;7568;60
670;7554;88
610;1399;308
610;1399;323
678;1426;49
678;1354;41
678;1399;155
678;1354;41
678;1399;44
678;1354;24
678;1399;32
678;1354;10
671;1354;140
671;1399;3810
671;6984;33
671;1399;90
604;1354;4
604;1354;2
604;1354;6
684;2082;12
684;1473;1
679;1354;45
679;1399;19
679;1354;22
679;1354;64
679;1399;11
679;1354;82
686;1334;72
686;7568;13
686;7545;21
689;1354;30
689;1399;68
693;1354;4
693;1354;11
694;1399;4
694;1354;113
694;1399;44
694;1354;10
694;1399;4
694;1354;20
694;1399;5
695;1399;60
695;1354;9
695;1354;7
695;1354;51
697;3727;16
697;1426;17
697;1354;593
697;1399;46
697;1473;31
697;2030;57
697;1354;49
697;1354;34
697;1399;88
697;1354;53
697;1399;26
697;6063;26
697;6063;0
697;1354;1
702;1354;112
702;1354;101
703;1334;5
703;1354;68
703;1399;104
703;1354;33
703;1399;21
304;1331;2
304;1942;8
305;1331;2
305;1334;16
704;7568;203
704;7554;7
708;1354;27
708;1399;0
708;6063;0
708;1399;70
708;1354;134
708;6069;22
710;7553;2
710;1426;18
710;7553;7
710;1473;25
710;7553;10
710;7545;18
709;1399;5
709;1354;21
712;1331;0
712;1334;3
712;6397;4
712;7033;9
712;6397;0
712;1334;9
712;1354;16
714;5373;10
714;5373;0
714;5373;2
714;5373;6
717;1399;26
717;1354;23
717;1334;9
717;1354;7
717;1426;2
717;1354;27
730;1354;23
730;1399;5
730;1354;77
730;1399;75
730;1354;0
736;1354;44
736;3376;0
737;1422;5
737;1354;53
737;1399;67
737;1354;14
741;1399;38
741;1354;48
746;1473;87
746;1473;0
746;2082;20
324;1354;14
324;1334;23
324;1422;0
324;1422;3
324;1422;25
324;4860;6
324;4340;29
324;4776;4
324;1394;6
324;4776;169
324;1426;10
759;7325;14
759;7402;25
754;1422;1586
754;1422;22
754;1422;7
754;4860;8
754;1334;8
762;1334;62
762;1380;3
766;1399;25
766;1399;0
762;1334;4
762;1380;2
758;4066;3
758;4066;141
758;4066;55
758;4066;16
758;4066;13
758;4066;0
758;4066;9
740;1380;31
740;1399;24
740;1380;11
740;1399;29
740;1380;10
740;1399;30
740;1380;36
740;1380;7
740;1399;35
740;1380;2
740;1380;14
740;1399;13
740;1380;12
740;1399;25
740;1380;15
740;1380;31
740;1399;21
740;1380;53
740;1399;15
740;1380;49
740;1399;15
740;1380;18
740;1399;15
740;1380;70
740;1399;8
740;1380;16
740;1399;41
740;1380;42
740;1399;13
740;1380;16
740;1399;37
740;1380;2
740;1380;17
740;1399;23
740;1380;7
740;1399;14
740;1380;41
740;1399;22
740;1380;8
740;1399;23
740;1380;9
740;1399;45
740;1380;9
740;1380;11
740;1399;15
740;1380;11
740;1399;0
770;4066;7
770;4066;18
770;4066;11
772;1334;12
772;1354;14
772;1399;1
772;1354;16
772;1399;38
772;1354;8
772;1399;14
772;1354;28
772;1399;23
772;1354;59
772;1354;51
772;1354;18
772;1399;51
772;1354;2
774;1426;5
774;1334;7
773;1334;15
773;1354;19
773;1354;14
773;1354;23
773;1354;8
773;1354;48
773;1354;21
773;1354;32
773;1354;1
773;1354;33
773;1399;76
773;1354;2
773;1399;23
778;1399;294
778;3376;7
778;1426;0
778;1426;2
778;1354;41
761;1426;4
761;1380;8
761;1399;0
780;1334;15
780;7785;12
780;1426;4
780;1354;30
780;2030;19
781;3761;262
781;4245;44
784;1334;26
784;1354;70
784;1399;39
784;1354;23
784;1399;19
785;1354;5
785;1334;0
785;1334;5
785;1354;77
785;1422;52
785;4860;2
774;8016;43
774;8016;11
324;4339;35
324;4339;2
324;4339;21
324;4339;0
324;4339;23
324;4775;2
324;1334;56
324;1354;45
792;1334;3
792;1354;13
792;1354;46
792;1399;30
792;2077;0
792;1406;25
792;2077;14
748;1399;49
